year,co2,globaltemp
1959,315.97,0.017
1960,316.91,-0.048
1961,317.64,0.039
1962,318.45,0.017
1963,318.99,0.05
1964,319.62,-0.222
1965,320.04,-0.141
1966,321.38,-0.072
1967,322.16,-0.076
1968,323.04,-0.112
1969,324.62,0.03
1970,325.68,-0.028
1971,326.32,-0.184
1972,327.45,-0.068
1973,329.68,0.064
1974,330.18,-0.211
1975,331.08,-0.145
1976,332.05,-0.238
1977,333.78,0.046
1978,335.41,-0.062
1979,336.78,0.057
1980,338.68,0.093
1981,340.1,0.14
1982,341.44,0.011
1983,343.03,0.19
1984,344.58,-0.015
1985,346.04,-0.029
1986,347.39,0.046
1987,349.16,0.187
1988,351.56,0.2
1989,353.07,0.12
1990,354.35,0.294
1991,355.57,0.255
1992,356.38,0.104
1993,357.07,0.145
1994,358.82,0.206
1995,360.8,0.323
1996,362.59,0.181
1997,363.71,0.39
1998,366.65,0.535
1999,368.33,0.307
2000,369.52,0.294
2001,371.13,0.439
2002,373.22,0.495
2003,375.77,0.507
2004,377.49,0.448
2005,379.8,0.543
2006,381.9,0.505
2007,383.76,0.493
2008,385.59,0.394
2009,387.37,0.504
2010,389.85,0.555
2011,391.63,0.421
2012,393.82,0.467
2013,396.48,0.492
2014,398.55,0.564
