"year","fall","winter"
1900,50.2,28.5
1901,48.1,28.2
1902,48.1,24.7
1903,49.9,31.4
1904,47.8,26.7
1905,46.9,29.8
1906,47.7,32.5
1907,47.5,30.2
1908,49.5,28.2
1909,52.1,23.8
1910,47.3,30.5
1911,45,25.9
1912,47.3,24.1
1913,50.9,23.6
1914,49,25.9
1915,44.9,26.5
1916,50.4,24.7
1917,46.6,28.9
1918,45.4,28.2
1919,47.2,28
1920,51.1,29.7
1921,49.1,25.9
1922,46.8,29.6
1923,49.7,27.6
1924,46.2,26.9
1925,49.8,28.9
1926,50.5,28.6
1927,47.6,27.2
1928,44.8,22.1
1929,48.3,24.9
1930,49.4,30.7
1931,49,29.6
1932,53.1,23.3
1933,50.9,36.2
1934,47.8,33.1
1935,49,27
1936,50.6,23.3
1937,50.5,29.1
1938,51.4,27
1939,49.4,28.5
1940,48.5,30.5
1941,48.7,22.4
1942,49.2,32.7
1943,49.5,28.9
1944,49.4,28.7
1945,46.2,29.9
1946,49.4,29.3
1947,49.5,26.3
1948,51.2,22
1949,50.2,29.3
1950,46.5,29.7
1951,47.4,28.5
1952,51.6,32.7
1953,51.9,34.6
1954,48.9,26.2
1955,50.5,28
1956,47.9,30.3
1957,50.9,33.8
1958,46.9,27.9
1959,50.5,28.1
1960,46.3,31.3
1961,51.5,23.3
1962,53.3,28.1
1963,49.7,27.8
1964,49.8,30.7
1965,49.8,27.8
1966,50.4,32
1967,48.8,29.1
1968,47,30.7
1969,47.9,33
1970,47.5,29.8
1971,47.5,30.8
1972,49,26.6
1973,49.6,30.2
1974,49.4,29.8
1975,48.4,32.4
1976,52,31.9
1977,50.4,28.5
1978,49.5,23.5
1979,51.2,28
1980,52.5,35.3
1981,47.7,30.5
1982,50.6,33.2
1983,48.4,25.7
1984,45.3,27.5
1985,48.8,32.5
1986,50.1,31.8
1987,51.4,28.2
1988,50.8,27.3
1989,52.5,31.3
1990,48.9,28.7
1991,50,34.2
1992,46.7,25.9
1993,50.5,31.6
1994,50.9,33.8
1995,49.8,31.5
1996,50.3,30.8
1997,53.3,33.9
1998,51.3,34.3
1999,48.3,36.5
2000,52.4,30.4
2001,48.9,32
2002,51.2,34.1
2003,50.8,32.8
2004,53.1,34.5
2005,49.5,33.6
2006,52.8,28.6
2007,51.9,29.7
2008,49.5,33.2
2009,52.6,27.8
2010,51.7,31.4
