"manufacturer","mfr.division","carline","displacement","cylinders","transmission","city.fe","hwy.fe","gears","drive.system"
"Honda","Acura","NSX",3.5,6,"Auto(AM-S9)",21,22,9,"A"
"FCA US LLC","ALFA ROMEO","4C",1.8,4,"Auto(AM6)",24,34,6,"R"
"aston martin","Aston Martin Lagonda Ltd","V12 Vantage S",6,12,"Auto(AM7)",12,18,7,"R"
"aston martin","Aston Martin Lagonda Ltd","V12 Vantage S",6,12,"Manual(M7)",10,16,7,"R"
"Volkswagen Group of","Audi","R8",5.2,10,"Auto(AM-S7)",14,22,7,"A"
"Volkswagen Group of","Audi","R8 Spyder",5.2,10,"Auto(AM-S7)",14,22,7,"A"
"Volkswagen Group of","Audi","TT Roadster quattro",2,4,"Auto(AM-S6)",23,30,6,"A"
"General Motors","Chevrolet","CORVETTE",6.2,8,"Auto(S8)",13,23,8,"R"
"General Motors","Chevrolet","CORVETTE",6.2,8,"Auto(S8)",15,26,8,"R"
"General Motors","Chevrolet","CORVETTE",6.2,8,"Manual(M7)",15,22,7,"R"
"General Motors","Chevrolet","CORVETTE",6.2,8,"Manual(M7)",16,25,7,"R"
"FCA US LLC","Dodge","Viper",8.4,10,"Manual(M6)",12,19,6,"R"
"Ferrari","Ferrari North America, Inc.","488 gtb",3.9,8,"Auto(AM7)",15,22,7,"R"
"Ferrari","Ferrari North America, Inc.","488 gtb",3.9,8,"Auto(AM7)",16,22,7,"R"
"Ferrari","Ferrari North America, Inc.","488 Spider",3.9,8,"Auto(AM7)",15,22,7,"R"
"Ferrari","Ferrari North America, Inc.","488 Spider",3.9,8,"Auto(AM7)",16,22,7,"R"
"Ferrari","Ferrari North America, Inc.","F12 Berlinetta",6.3,12,"Auto(AM7)",12,16,7,"R"
"Ferrari","Ferrari North America, Inc.","F12 Berlinetta",6.3,12,"Auto(AM7)",12,16,7,"R"
"Ferrari","Ferrari North America, Inc.","F12 tdf",6.3,12,"Auto(AM7)",11,15,7,"R"
"Ferrari","Ferrari North America, Inc.","F12 tdf",6.3,12,"Auto(AM7)",11,15,7,"R"
"Ferrari","Ferrari North America, Inc.","LaFerrari Aperta",6.3,12,"Auto(AM7)",12,15,7,"P"
"FCA US LLC","FIAT","124 Spider",1.4,4,"Auto(A6)",25,36,6,"R"
"FCA US LLC","FIAT","124 Spider",1.4,4,"Manual(M6)",26,35,6,"R"
"Ford Motor Company","Ford","Ford GT",3.5,6,"Auto(AM7)",11,18,7,"R"
"Jaguar Land Rover L","Jaguar","F-TYPE Convertible",3,6,"Auto(S8)",20,28,8,"R"
"Jaguar Land Rover L","Jaguar","F-TYPE Convertible Manual",3,6,"Manual(M6)",16,24,6,"R"
"Jaguar Land Rover L","Jaguar","F-TYPE Coupe",3,6,"Auto(S8)",20,28,8,"R"
"Jaguar Land Rover L","Jaguar","F-TYPE Coupe Manual",3,6,"Manual(M6)",16,24,6,"R"
