"Price","Lot.Size","Waterfront","Age","Land.Value","New.Construct","Central.Air","Fuel.Type","Heat.Type","Sewer.Type","Living.Area","Pct.College","Bedrooms","Fireplaces","Bathrooms","Rooms","Fireplace","Beds"
132500,0.09,"No",42,50000,"No","No","Electric","Electric","Private",906,35,2,"1",1,5,"Yes","2 or fewer"
181115,0.92,"No",0,22300,"No","No","Gas","Hot Water","Private",1953,51,3,"None",2.5,6,"No","3"
109000,0.19,"No",133,7300,"No","No","Gas","Hot Water","Public",1944,51,4,"1",1,8,"Yes","4 or more"
155000,0.41,"No",13,18700,"No","No","Gas","Hot Air","Private",1944,51,3,"1",1.5,5,"Yes","3"
86060,0.11,"No",0,15000,"Yes","Yes","Gas","Hot Air","Public",840,51,2,"None",1,3,"No","2 or fewer"
120000,0.68,"No",31,14000,"No","No","Gas","Hot Air","Private",1152,22,4,"1",1,8,"Yes","4 or more"
153000,0.4,"No",33,23300,"No","No","Oil","Hot Water","Private",2752,51,4,"1",1.5,8,"Yes","4 or more"
170000,1.21,"No",23,14600,"No","No","Oil","Hot Air","Private",1662,35,4,"1",1.5,9,"Yes","4 or more"
90000,0.83,"No",36,22200,"No","No","Electric","Electric","Private",1632,51,3,"None",1.5,8,"No","3"
122900,1.94,"No",4,21200,"No","No","Gas","Hot Air","None",1416,44,3,"None",1.5,6,"No","3"
325000,2.29,"No",123,12600,"No","No","Oil","Hot Air","Private",2894,51,7,"None",1,12,"No","4 or more"
120000,0.92,"No",1,22300,"No","No","Gas","Hot Air","Private",1624,51,3,"None",2,6,"No","3"
85860,8.97,"No",13,4800,"No","No","Electric","Electric","Private",704,41,2,"None",1,4,"No","2 or fewer"
97000,0.11,"No",153,3100,"No","No","Gas","Hot Water","Public",1383,57,3,"None",2,5,"No","3"
127000,0.14,"No",9,300,"No","No","Oil","Hot Air","Private",1300,41,3,"None",1.5,8,"No","3"
89900,0,"No",88,2500,"No","No","Gas","Hot Water","Public",936,57,3,"None",1,4,"No","3"
155000,0.13,"No",9,300,"No","No","Oil","Hot Air","Private",1300,41,3,"None",1.5,7,"No","3"
253750,2,"No",0,49800,"No","Yes","Gas","Hot Air","None",2816,71,4,"1",2.5,12,"Yes","4 or more"
60000,0.21,"No",82,8500,"No","No","Oil","Hot Water","Private",924,35,2,"None",1,6,"No","2 or fewer"
87500,0.88,"No",17,19400,"No","No","Oil","Hot Air","Private",1092,35,3,"None",1,6,"No","3"
112000,1,"No",12,8600,"No","No","Electric","Electric","Private",1056,35,3,"None",1,7,"No","3"
104900,0.43,"No",21,5600,"No","No","Electric","Electric","Public",1600,39,3,"None",1.5,4,"No","3"
148635,0.32,"No",1,6200,"Yes","Yes","Gas","Hot Air","Private",1576,39,3,"None",2.5,7,"No","3"
150000,0.03,"No",24,5100,"No","No","Oil","Hot Air","Private",2080,39,3,"None",2,6,"No","3"
90400,0.36,"No",16,5200,"No","No","Electric","Electric","Public",1600,39,3,"None",1.5,4,"No","3"
248800,4,"No",28,5500,"No","No","Oil","Hot Air","Private",2224,39,4,"None",3,10,"No","4 or more"
135000,1.83,"No",126,6000,"No","No","Oil","Hot Water","Private",1656,39,3,"None",1,6,"No","3"
145000,3,"No",26,4500,"No","No","Oil","Hot Air","Private",1170,39,4,"None",1.5,5,"No","4 or more"
457000,0.43,"Yes",53,2700,"No","No","Oil","Hot Air","Public",2461,39,4,"1",2,10,"Yes","4 or more"
140000,0.44,"No",56,19400,"No","Yes","Oil","Hot Air","Private",1544,71,3,"1",1.5,7,"Yes","3"
130000,1.24,"No",51,24800,"No","No","Oil","Hot Water","Private",1220,71,2,"2 or more",1,4,"Yes","2 or fewer"
187000,0.46,"No",3,15200,"No","No","Gas","Hot Air","Private",1858,52,3,"1",2.5,7,"Yes","3"
229000,0.87,"No",9,41100,"No","No","Gas","Hot Air","Public",2219,64,3,"1",2,8,"Yes","3"
227000,1.8,"No",201,25500,"No","No","Oil","Hot Air","Private",1876,52,3,"None",2.5,5,"No","3"
179900,0.46,"No",1,15200,"No","No","Gas","Hot Air","Private",2026,52,4,"1",2.5,6,"Yes","4 or more"
169900,0.91,"No",19,20200,"No","Yes","Gas","Hot Air","Private",1671,71,4,"1",3,8,"Yes","4 or more"
209900,0.46,"No",1,15200,"No","No","Gas","Hot Air","None",2060,52,4,"1",2.5,7,"Yes","4 or more"
169900,0.59,"No",0,17300,"No","No","Gas","Hot Air","Private",1884,52,4,"1",2.5,9,"Yes","4 or more"
293000,7.24,"No",43,36600,"No","No","Gas","Hot Water","Private",2022,71,4,"2 or more",3,6,"Yes","4 or more"
245900,0.19,"No",0,20700,"No","Yes","Gas","Hot Air","None",2394,71,4,"1",2.5,7,"Yes","4 or more"
157000,0.46,"No",45,20200,"No","No","Gas","Hot Air","Private",1390,71,3,"1",1.5,6,"Yes","3"
195000,0.41,"No",32,27100,"No","Yes","Gas","Hot Air","Private",1954,71,4,"None",2.5,8,"No","4 or more"
150000,0.78,"No",54,24500,"No","Yes","Oil","Hot Air","Private",1554,71,3,"1",1.5,5,"Yes","3"
234900,0.89,"No",9,41600,"No","Yes","Gas","Hot Air","Public",1976,64,3,"None",2.5,6,"No","3"
279550,1.34,"No",0,44400,"No","No","Gas","Hot Air","Private",2479,71,4,"1",2.5,10,"Yes","4 or more"
246500,1,"No",0,17100,"No","No","Gas","Hot Air","None",2714,71,4,"1",2.5,9,"Yes","4 or more"
124000,1,"No",98,15500,"No","No","Oil","Hot Air","Private",797,52,2,"None",1,3,"No","2 or fewer"
138000,0.27,"No",54,8900,"No","No","Gas","Hot Water","Private",1500,71,3,"None",2.5,7,"No","3"
290000,0.71,"Yes",73,61000,"No","No","Oil","Hot Air","Private",1838,71,4,"None",2,8,"No","4 or more"
108000,0.9,"No",48,19000,"No","No","Gas","Hot Air","Private",1042,71,2,"1",2,3,"Yes","2 or fewer"
134900,0.24,"No",10,8000,"No","Yes","Gas","Hot Air","Public",1782,52,3,"None",2.5,6,"No","3"
64500,0.06,"No",16,1600,"No","No","Gas","Hot Air","Public",1480,52,2,"1",2.5,5,"Yes","2 or fewer"
142000,0.55,"No",20,13800,"No","No","Gas","Hot Air","Private",1426,52,3,"1",2,6,"Yes","3"
125000,0.34,"No",32,11100,"No","No","Gas","Hot Air","Private",1404,52,3,"None",2,5,"No","3"
88000,0.19,"No",15,3400,"No","Yes","Gas","Hot Water","Public",1480,52,3,"1",1.5,5,"Yes","3"
135000,0.23,"No",135,8100,"No","No","Gas","Hot Water","Public",1344,52,3,"None",1,5,"No","3"
90000,0.07,"No",14,1800,"No","Yes","Gas","Hot Air","Public",1480,52,2,"1",2.5,5,"Yes","2 or fewer"
90100,0.09,"No",15,2400,"No","No","Gas","Hot Water","Public",1480,52,3,"1",1.5,7,"Yes","3"
126900,0.25,"No",10,8400,"No","No","Gas","Hot Air","Public",1596,52,3,"None",2.5,6,"No","3"
